LocationType,Location,Race,TimeFrame,DataFormat,Data
State,Colorado,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,2931
State,Colorado,Non-Hispanic Two or More Race Groups,2000,Number,31475
State,Colorado,Hispanic or Latino,2000,Number,483322
State,Connecticut,Total Ages 18 and Over,2000,Number,2569535
State,Connecticut,Non-Hispanic White alone,2000,Number,2067582
State,Connecticut,Non-Hispanic Black alone,2000,Number,208470
State,Connecticut,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,5356
State,Connecticut,Non-Hispanic Asian alone,2000,Number,63155
State,Connecticut,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,788
State,Connecticut,Non-Hispanic Two or More Race Groups,2000,Number,17243
State,Connecticut,Hispanic or Latino,2000,Number,206941
State,Delaware,Total Ages 18 and Over,2000,Number,591459
State,Delaware,Non-Hispanic White alone,2000,Number,445360
State,Delaware,Non-Hispanic Black alone,2000,Number,103402
State,Delaware,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,1839
State,Delaware,Non-Hispanic Asian alone,2000,Number,12655
State,Delaware,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,201
State,Delaware,Non-Hispanic Two or More Race Groups,2000,Number,3920
State,Delaware,Hispanic or Latino,2000,Number,24082
City,District of Columbia,Total Ages 18 and Over,2000,Number,457543
City,District of Columbia,Non-Hispanic White alone,2000,Number,147159
City,District of Columbia,Non-Hispanic Black alone,2000,Number,256820
City,District of Columbia,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,1072
City,District of Columbia,Non-Hispanic Asian alone,2000,Number,13776
City,District of Columbia,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,239
City,District of Columbia,Non-Hispanic Two or More Race Groups,2000,Number,4674
City,District of Columbia,Hispanic or Latino,2000,Number,33803
State,Florida,Total Ages 18 and Over,2000,Number,12392635
State,Florida,Non-Hispanic White alone,2000,Number,8493738
State,Florida,Non-Hispanic Black alone,2000,Number,1558924
State,Florida,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,32696
State,Florida,Non-Hispanic Asian alone,2000,Number,210171
State,Florida,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,5641
State,Florida,Non-Hispanic Two or More Race Groups,2000,Number,84766
State,Florida,Hispanic or Latino,2000,Number,2006699
State,Georgia,Total Ages 18 and Over,2000,Number,6050727
State,Georgia,Non-Hispanic White alone,2000,Number,3951828
State,Georgia,Non-Hispanic Black alone,2000,Number,1607524
State,Georgia,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,13664
State,Georgia,Non-Hispanic Asian alone,2000,Number,133435
State,Georgia,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,2599
State,Georgia,Non-Hispanic Two or More Race Groups,2000,Number,37736
State,Georgia,Hispanic or Latino,2000,Number,303941
State,Hawaii,Total Ages 18 and Over,2000,Number,918167
State,Hawaii,Non-Hispanic White alone,2000,Number,235858
State,Hawaii,Non-Hispanic Black alone,2000,Number,15449
State,Hawaii,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,1960
State,Hawaii,Non-Hispanic Asian alone,2000,Number,413605
State,Hawaii,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,74394
State,Hawaii,Non-Hispanic Two or More Race Groups,2000,Number,124045
State,Hawaii,Hispanic or Latino,2000,Number,52856
State,Idaho,Total Ages 18 and Over,2000,Number,929000
State,Idaho,Non-Hispanic White alone,2000,Number,837277
State,Idaho,Non-Hispanic Black alone,2000,Number,3309
State,Idaho,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,10765
State,Idaho,Non-Hispanic Asian alone,2000,Number,9272
State,Idaho,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,876
State,Idaho,Non-Hispanic Two or More Race Groups,2000,Number,7918
State,Idaho,Hispanic or Latino,2000,Number,59583
State,Illinois,Total Ages 18 and Over,2000,Number,9189217
State,Illinois,Non-Hispanic White alone,2000,Number,6535961
State,Illinois,Non-Hispanic Black alone,2000,Number,1264753
State,Illinois,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,13785
State,Illinois,Non-Hispanic Asian alone,2000,Number,331834
State,Illinois,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,2532
State,Illinois,Non-Hispanic Two or More Race Groups,2000,Number,52941
State,Illinois,Hispanic or Latino,2000,Number,987411
State,Indiana,Total Ages 18 and Over,2000,Number,4516877
State,Indiana,Non-Hispanic White alone,2000,Number,3946780
State,Indiana,Non-Hispanic Black alone,2000,Number,346032
State,Indiana,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,10279
State,Indiana,Non-Hispanic Asian alone,2000,Number,46597
State,Indiana,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1174
State,Indiana,Non-Hispanic Two or More Race Groups,2000,Number,25788
State,Indiana,Hispanic or Latino,2000,Number,140227
State,Iowa,Total Ages 18 and Over,2000,Number,2195730
State,Iowa,Non-Hispanic White alone,2000,Number,2063095
State,Iowa,Non-Hispanic Black alone,2000,Number,39873
State,Iowa,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,5356
State,Iowa,Non-Hispanic Asian alone,2000,Number,27001
State,Iowa,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,700
State,Iowa,Non-Hispanic Two or More Race Groups,2000,Number,9366
State,Iowa,Hispanic or Latino,2000,Number,50339
State,Kansas,Total Ages 18 and Over,2000,Number,1979794
State,Kansas,Non-Hispanic White alone,2000,Number,1689781
State,Kansas,Non-Hispanic Black alone,2000,Number,103270
State,Kansas,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,15720
State,Kansas,Non-Hispanic Asian alone,2000,Number,35329
State,Kansas,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,843
State,Kansas,Non-Hispanic Two or More Race Groups,2000,Number,19069
State,Kansas,Hispanic or Latino,2000,Number,115782
State,Kentucky,Total Ages 18 and Over,2000,Number,3054037
State,Kentucky,Non-Hispanic White alone,2000,Number,2758147
State,Kentucky,Non-Hispanic Black alone,2000,Number,206940
State,Kentucky,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,6209
State,Kentucky,Non-Hispanic Asian alone,2000,Number,22966
State,Kentucky,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,937
State,Kentucky,Non-Hispanic Two or More Race Groups,2000,Number,17188
State,Kentucky,Hispanic or Latino,2000,Number,41650
State,Louisiana,Total Ages 18 and Over,2000,Number,3254215
State,Louisiana,Non-Hispanic White alone,2000,Number,2135254
State,Louisiana,Non-Hispanic Black alone,2000,Number,964324
State,Louisiana,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,16651
State,Louisiana,Non-Hispanic Asian alone,2000,Number,40882
State,Louisiana,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,820
State,Louisiana,Non-Hispanic Two or More Race Groups,2000,Number,18164
State,Louisiana,Hispanic or Latino,2000,Number,78120
State,Maine,Total Ages 18 and Over,2000,Number,975665
State,Maine,Non-Hispanic White alone,2000,Number,948498
State,Maine,Non-Hispanic Black alone,2000,Number,4141
State,Maine,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,4797
State,Maine,Non-Hispanic Asian alone,2000,Number,6536
State,Maine,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,247
State,Maine,Non-Hispanic Two or More Race Groups,2000,Number,5640
State,Maine,Hispanic or Latino,2000,Number,5806
State,Maryland,Total Ages 18 and Over,2000,Number,3954073
State,Maryland,Non-Hispanic White alone,2000,Number,2542928
State,Maryland,Non-Hispanic Black alone,2000,Number,1043921
State,Maryland,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,10218
State,Maryland,Non-Hispanic Asian alone,2000,Number,165171
State,Maryland,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1564
State,Maryland,Non-Hispanic Two or More Race Groups,2000,Number,32027
State,Maryland,Hispanic or Latino,2000,Number,158244
State,Massachusetts,Total Ages 18 and Over,2000,Number,4859770
State,Massachusetts,Non-Hispanic White alone,2000,Number,4117875
State,Massachusetts,Non-Hispanic Black alone,2000,Number,240641
State,Massachusetts,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,8748
State,Massachusetts,Non-Hispanic Asian alone,2000,Number,184475
State,Massachusetts,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1696
State,Massachusetts,Non-Hispanic Two or More Race Groups,2000,Number,32213
State,Massachusetts,Hispanic or Latino,2000,Number,274122
State,Michigan,Total Ages 18 and Over,2000,Number,7356336
State,Michigan,Non-Hispanic White alone,2000,Number,5960898
State,Michigan,Non-Hispanic Black alone,2000,Number,959630
State,Michigan,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,37424
State,Michigan,Non-Hispanic Asian alone,2000,Number,131793
State,Michigan,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1634
State,Michigan,Non-Hispanic Two or More Race Groups,2000,Number,62607
State,Michigan,Hispanic or Latino,2000,Number,202350
State,Minnesota,Total Ages 18 and Over,2000,Number,3643977
State,Minnesota,Non-Hispanic White alone,2000,Number,3294462
State,Minnesota,Non-Hispanic Black alone,2000,Number,110124
State,Minnesota,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,33308
State,Minnesota,Non-Hispanic Asian alone,2000,Number,90730
State,Minnesota,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1297
State,Minnesota,Non-Hispanic Two or More Race Groups,2000,Number,25096
State,Minnesota,Hispanic or Latino,2000,Number,88960
State,Mississippi,Total Ages 18 and Over,2000,Number,2074000
State,Mississippi,Non-Hispanic White alone,2000,Number,1331053
State,Mississippi,Non-Hispanic Black alone,2000,Number,684615
State,Mississippi,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,7472
State,Mississippi,Non-Hispanic Asian alone,2000,Number,13809
State,Mississippi,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,441
State,Mississippi,Non-Hispanic Two or More Race Groups,2000,Number,8708
State,Mississippi,Hispanic or Latino,2000,Number,27902
State,Missouri,Total Ages 18 and Over,2000,Number,4178902
State,Missouri,Non-Hispanic White alone,2000,Number,3573515
State,Missouri,Non-Hispanic Black alone,2000,Number,426322
State,Missouri,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,17442
State,Missouri,Non-Hispanic Asian alone,2000,Number,48263
State,Missouri,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,2125
State,Missouri,Non-Hispanic Two or More Race Groups,2000,Number,34426
State,Missouri,Hispanic or Latino,2000,Number,76809
State,Montana,Total Ages 18 and Over,2000,Number,673706
State,Montana,Non-Hispanic White alone,2000,Number,617017
State,Montana,Non-Hispanic Black alone,2000,Number,1707
State,Montana,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,33468
State,Montana,Non-Hispanic Asian alone,2000,Number,3442
State,Montana,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,314
State,Montana,Non-Hispanic Two or More Race Groups,2000,Number,6957
State,Montana,Hispanic or Latino,2000,Number,10801
State,Nebraska,Total Ages 18 and Over,2000,Number,1263440
State,Nebraska,Non-Hispanic White alone,2000,Number,1129168
State,Nebraska,Non-Hispanic Black alone,2000,Number,44406
State,Nebraska,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,8333
State,Nebraska,Non-Hispanic Asian alone,2000,Number,16461
State,Nebraska,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,518
State,Nebraska,Non-Hispanic Two or More Race Groups,2000,Number,6663
State,Nebraska,Hispanic or Latino,2000,Number,57891
State,Nevada,Total Ages 18 and Over,2000,Number,1502723
State,Nevada,Non-Hispanic White alone,2000,Number,1042472
State,Nevada,Non-Hispanic Black alone,2000,Number,92770
State,Nevada,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,15673
State,Nevada,Non-Hispanic Asian alone,2000,Number,73220
State,Nevada,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,5801
State,Nevada,Non-Hispanic Two or More Race Groups,2000,Number,20912
State,Nevada,Hispanic or Latino,2000,Number,251875
State,New Hampshire,Total Ages 18 and Over,2000,Number,929530
State,New Hampshire,Non-Hispanic White alone,2000,Number,890844
State,New Hampshire,Non-Hispanic Black alone,2000,Number,6046
State,New Hampshire,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,2046
State,New Hampshire,Non-Hispanic Asian alone,2000,Number,12241
State,New Hampshire,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,247
State,New Hampshire,Non-Hispanic Two or More Race Groups,2000,Number,5279
State,New Hampshire,Hispanic or Latino,2000,Number,12827
State,New Jersey,Total Ages 18 and Over,2000,Number,6341736
State,New Jersey,Non-Hispanic White alone,2000,Number,4351571
State,New Jersey,Non-Hispanic Black alone,2000,Number,786475
State,New Jersey,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,8677
State,New Jersey,Non-Hispanic Asian alone,2000,Number,365797
State,New Jersey,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1897
State,New Jersey,Non-Hispanic Two or More Race Groups,2000,Number,40216
State,New Jersey,Hispanic or Latino,2000,Number,787103
State,New Mexico,Total Ages 18 and Over,2000,Number,1313072
State,New Mexico,Non-Hispanic White alone,2000,Number,652824
State,New Mexico,Non-Hispanic Black alone,2000,Number,22151
State,New Mexico,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,102480
State,New Mexico,Non-Hispanic Asian alone,2000,Number,14618
State,New Mexico,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,751
State,New Mexico,Non-Hispanic Two or More Race Groups,2000,Number,10275
State,New Mexico,Hispanic or Latino,2000,Number,509973
State,New York,Total Ages 18 and Over,2000,Number,14314406
State,New York,Non-Hispanic White alone,2000,Number,9279019
State,New York,Non-Hispanic Black alone,2000,Number,2040243
State,New York,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,39089
State,New York,Non-Hispanic Asian alone,2000,Number,846443
State,New York,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,5029
State,New York,Non-Hispanic Two or More Race Groups,2000,Number,109534
State,New York,Hispanic or Latino,2000,Number,1995049
State,North Carolina,Total Ages 18 and Over,2000,Number,6113988
State,North Carolina,Non-Hispanic White alone,2000,Number,4442121
State,North Carolina,Non-Hispanic Black alone,2000,Number,1219121
State,North Carolina,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,67899
State,North Carolina,Non-Hispanic Asian alone,2000,Number,84997
State,North Carolina,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,2423
State,North Carolina,Non-Hispanic Two or More Race Groups,2000,Number,33914
State,North Carolina,Hispanic or Latino,2000,Number,263513
State,North Dakota,Total Ages 18 and Over,2000,Number,481546
State,North Dakota,Non-Hispanic White alone,2000,Number,450529
State,North Dakota,Non-Hispanic Black alone,2000,Number,2594
State,North Dakota,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,18301
State,North Dakota,Non-Hispanic Asian alone,2000,Number,2781
State,North Dakota,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,136
State,North Dakota,Non-Hispanic Two or More Race Groups,2000,Number,2590
State,North Dakota,Hispanic or Latino,2000,Number,4615
State,Ohio,Total Ages 18 and Over,2000,Number,8476958
State,Ohio,Non-Hispanic White alone,2000,Number,7270949
State,Ohio,Non-Hispanic Black alone,2000,Number,888286
State,Ohio,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,16827
State,Ohio,Non-Hispanic Asian alone,2000,Number,103487
State,Ohio,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1783
State,Ohio,Non-Hispanic Two or More Race Groups,2000,Number,57306
State,Ohio,Hispanic or Latino,2000,Number,138320
State,Oklahoma,Total Ages 18 and Over,2000,Number,2562518
State,Oklahoma,Non-Hispanic White alone,2000,Number,1984877
State,Oklahoma,Non-Hispanic Black alone,2000,Number,175405
State,Oklahoma,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,173043
State,Oklahoma,Non-Hispanic Asian alone,2000,Number,36368
State,Oklahoma,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1532
State,Oklahoma,Non-Hispanic Two or More Race Groups,2000,Number,80911
State,Oklahoma,Hispanic or Latino,2000,Number,110382
State,Oregon,Total Ages 18 and Over,2000,Number,2582197
State,Oregon,Non-Hispanic White alone,2000,Number,2225161
State,Oregon,Non-Hispanic Black alone,2000,Number,37636
State,Oregon,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,28076
State,Oregon,Non-Hispanic Asian alone,2000,Number,78100
State,Oregon,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,5378
State,Oregon,Non-Hispanic Two or More Race Groups,2000,Number,38441
State,Oregon,Hispanic or Latino,2000,Number,169405
State,Pennsylvania,Total Ages 18 and Over,2000,Number,9365323
State,Pennsylvania,Non-Hispanic White alone,2000,Number,8050580
State,Pennsylvania,Non-Hispanic Black alone,2000,Number,839892
State,Pennsylvania,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,11451
State,Pennsylvania,Non-Hispanic Asian alone,2000,Number,168982
State,Pennsylvania,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,2137
State,Pennsylvania,Non-Hispanic Two or More Race Groups,2000,Number,43996
State,Pennsylvania,Hispanic or Latino,2000,Number,248285
State,Rhode Island,Total Ages 18 and Over,2000,Number,802203
State,Rhode Island,Non-Hispanic White alone,2000,Number,686712
State,Rhode Island,Non-Hispanic Black alone,2000,Number,31833
State,Rhode Island,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,2932
State,Rhode Island,Non-Hispanic Asian alone,2000,Number,17848
State,Rhode Island,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,378
State,Rhode Island,Non-Hispanic Two or More Race Groups,2000,Number,6129
State,Rhode Island,Hispanic or Latino,2000,Number,56371
State,South Carolina,Total Ages 18 and Over,2000,Number,3013582
State,South Carolina,Non-Hispanic White alone,2000,Number,2075740
State,South Carolina,Non-Hispanic Black alone,2000,Number,816069
State,South Carolina,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,9478
State,South Carolina,Non-Hispanic Asian alone,2000,Number,28049
State,South Carolina,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1001
State,South Carolina,Non-Hispanic Two or More Race Groups,2000,Number,15052
State,South Carolina,Hispanic or Latino,2000,Number,68193
State,South Dakota,Total Ages 18 and Over,2000,Number,553163
State,South Dakota,Non-Hispanic White alone,2000,Number,502336
State,South Dakota,Non-Hispanic Black alone,2000,Number,3159
State,South Dakota,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,34228
State,South Dakota,Non-Hispanic Asian alone,2000,Number,3171
State,South Dakota,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,160
State,South Dakota,Non-Hispanic Two or More Race Groups,2000,Number,3666
State,South Dakota,Hispanic or Latino,2000,Number,6443
State,Tennessee,Total Ages 18 and Over,2000,Number,4304034
State,Tennessee,Non-Hispanic White alone,2000,Number,3498679
State,Tennessee,Non-Hispanic Black alone,2000,Number,637802
State,Tennessee,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,10826
State,Tennessee,Non-Hispanic Asian alone,2000,Number,43332
State,Tennessee,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,1354
State,Tennessee,Non-Hispanic Two or More Race Groups,2000,Number,25804
State,Tennessee,Hispanic or Latino,2000,Number,86237
State,Texas,Total Ages 18 and Over,2000,Number,15038198
State,Texas,Non-Hispanic White alone,2000,Number,8474688
State,Texas,Non-Hispanic Black alone,2000,Number,1645575
State,Texas,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,52713
State,Texas,Non-Hispanic Asian alone,2000,Number,430047
State,Texas,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,7992
State,Texas,Non-Hispanic Two or More Race Groups,2000,Number,96356
State,Texas,Hispanic or Latino,2000,Number,4330827
State,Utah,Total Ages 18 and Over,2000,Number,1522816
State,Utah,Non-Hispanic White alone,2000,Number,1322016
State,Utah,Non-Hispanic Black alone,2000,Number,10800
State,Utah,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,16594
State,Utah,Non-Hispanic Asian alone,2000,Number,28733
State,Utah,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,8939
State,Utah,Non-Hispanic Two or More Race Groups,2000,Number,10570
State,Utah,Hispanic or Latino,2000,Number,125164
State,Vermont,Total Ages 18 and Over,2000,Number,462069
State,Vermont,Non-Hispanic White alone,2000,Number,447173
State,Vermont,Non-Hispanic Black alone,2000,Number,1960
State,Vermont,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,1750
State,Vermont,Non-Hispanic Asian alone,2000,Number,3828
State,Vermont,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,94
State,Vermont,Non-Hispanic Two or More Race Groups,2000,Number,3557
State,Vermont,Hispanic or Latino,2000,Number,3707
State,Virginia,Total Ages 18 and Over,2000,Number,5364397
State,Virginia,Non-Hispanic White alone,2000,Number,3879515
State,Virginia,Non-Hispanic Black alone,2000,Number,985629
State,Virginia,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,14524
State,Virginia,Non-Hispanic Asian alone,2000,Number,205283
State,Virginia,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,2664
State,Virginia,Non-Hispanic Two or More Race Groups,2000,Number,46399
State,Virginia,Hispanic or Latino,2000,Number,230383
State,Washington,Total Ages 18 and Over,2000,Number,4394151
State,Washington,Non-Hispanic White alone,2000,Number,3594627
State,Washington,Non-Hispanic Black alone,2000,Number,131305
State,Washington,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,58528
State,Washington,Non-Hispanic Asian alone,2000,Number,250967
State,Washington,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,15830
State,Washington,Non-Hispanic Two or More Race Groups,2000,Number,75373
State,Washington,Hispanic or Latino,2000,Number,267521
State,West Virginia,Total Ages 18 and Over,2000,Number,1405959
State,West Virginia,Non-Hispanic White alone,2000,Number,1336911
State,West Virginia,Non-Hispanic Black alone,2000,Number,42445
State,West Virginia,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,2782
State,West Virginia,Non-Hispanic Asian alone,2000,Number,7529
State,West Virginia,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,247
State,West Virginia,Non-Hispanic Two or More Race Groups,2000,Number,7595
State,West Virginia,Hispanic or Latino,2000,Number,8450
State,Wisconsin,Total Ages 18 and Over,2000,Number,4003559
State,Wisconsin,Non-Hispanic White alone,2000,Number,3590416
State,Wisconsin,Non-Hispanic Black alone,2000,Number,188741
State,Wisconsin,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,29149
State,Wisconsin,Non-Hispanic Asian alone,2000,Number,54634
State,Wisconsin,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,992
State,Wisconsin,Non-Hispanic Two or More Race Groups,2000,Number,20467
State,Wisconsin,Hispanic or Latino,2000,Number,119160
State,Wyoming,Total Ages 18 and Over,2000,Number,365526
State,Wyoming,Non-Hispanic White alone,2000,Number,330921
State,Wyoming,Non-Hispanic Black alone,2000,Number,2549
State,Wyoming,Non-Hispanic American Indian and Alaskan Native alone,2000,Number,6583
State,Wyoming,Non-Hispanic Asian alone,2000,Number,2173
State,Wyoming,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Number,191
State,Wyoming,Non-Hispanic Two or More Race Groups,2000,Number,2863
State,Wyoming,Hispanic or Latino,2000,Number,20246
State,Wyoming,Total Ages 18 and Over,2000,Percent,1
State,Wyoming,Non-Hispanic White alone,2000,Percent,0.91
State,Wyoming,Non-Hispanic Black alone,2000,Percent,0.01
State,Wyoming,Non-Hispanic American Indian and Alaskan Native alone,2000,Percent,0.02
State,Wyoming,Non-Hispanic Asian alone,2000,Percent,0.01
State,Wyoming,Non-Hispanic Native Hawaiian and Other Pacific Islander alone,2000,Percent,<.5%
